,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
384413,,2007,2454330.5,230,,3.0,Smoking,,,,2.0,B,34.34702,-92.48991
933996,,2001,2452223.5,314,,5.0,Debris Burning,,,,0.5,B,35.025,-86.4883
238145,WASHAMSPG,1994,2449550.5,198,1600,1.0,Lightning,2449551.5,199.0,1500,0.4,B,41.1833,-109.4174
1180003,BIXLER,2010,2455376.5,180,1750,1.0,Lightning,2455376.5,180.0,1845,0.25,A,36.7525,-107.261667
1440141,,1996,2450144.5,62,1227,4.0,Campfire,,,,1.0,B,33.85439,-87.13796
692079,,1992,2448942.5,321,1342,5.0,Debris Burning,2448942.5,321.0,1554,5.0,B,34.72325622,-89.42068941
1447220,,2000,2451659.5,116,,5.0,Debris Burning,,,,0.01,A,45.103926,-88.087388
513271,KATHRYN,2008,2454703.5,238,,2.0,Equipment Use,,,,5000.0,G,48.4153,-108.1614
1382202,,1993,2449023.5,36,2300,7.0,Arson,2449023.5,36.0,,4.37,B,34.5674,-85.4861
1638976,PHOENIX,2013,2456493.5,201,1340,1.0,Lightning,2456493.5,201.0,1415,0.1,A,34.34861111,-110.53638889
35826,KNOLL,2009,2455017.5,186,0845,1.0,Lightning,2455017.5,186.0,1630,0.1,A,48.66333333,-116.90833333
754689,CHASE 2,1997,2450628.5,180,,13.0,Missing/Undefined,2450628.5,180.0,,0.25,A,39.49726,-111.62953
182722,,1993,2449094.5,107,1430,5.0,Debris Burning,2449094.5,107.0,1630,1.0,B,47.2666,-95.6336
1519782,,2011,2455830.5,269,1834,9.0,Miscellaneous,2455830.5,269.0,1855,2.75,B,42.78860562,-73.68067918
362042,BREAUX-II,1998,2451045.5,232,1635,1.0,Lightning,,,,2.0,B,29.8666667,-93.6166667
302277,H58NER,2004,2453184.5,180,0930,9.0,Miscellaneous,2453184.5,180.0,1030,0.5,B,33.402,-110.467
1057734,HOT LOADER FIRE,2004,2453056.5,52,,5.0,Debris Burning,,,,0.2,A,35.7333,-82.0
